# Epoca,Lat,Lon,Year,Month,Day,Hour,Minute,Battery,bHead,Wspd,Wspdflag,Wspdflagid,Wdir,Wdirflag,Wdirflagid,Gust,Gustflag,Gustflagid,Atmp,Atmpflag,Atmpflagid,Pres,Presflag,Presflagid,Dewp,Dewpflag,Dewpflagid,Humi,Humiflag,Humiflagid,Arad,Wtmp,Wtmpflag,Wtmpflagid,Cvel1,Cvel1flag,Cvel1flagid,Cdir1,Cdir1flag,Cdir1flagid,Cvel2,Cvel2flag,Cvel2flagid,Cdir2,Cdir2flag,Cdir2flagid,Cvel3,Cvel3flag,Cvel3flagid,Cdir3,Cdir3flag,Cdir3flagid,Wvht,Wvhtflag,Wvhtflagid,Wmax,Wmaxflag,Wmaxflagid,Dpd,Dpdflag,Dpdflagid,Mwd,Mwdflag,Mwdflagid,Spred
1469037600,"-23,632","-42,199",2016,7,20,18,21,"13,4",-9999,"7,4975319712",0,0,224,0,0,"9,2360901094",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1469041200,"-23,628","-42,202",2016,7,20,19,21,-9999,279,"7,4975319712",0,0,224,0,0,"9,2360901094",0,0,"21,3",0,0,"1019,1",0,0,"15,9",0,0,71,0,0,"187,72","23,23",0,0,183,0,0,47,0,0,225,0,0,46,0,0,199,0,0,45,0,0,"2,64",0,0,"5,72",0,0,"11,8",0,0,185,0,0,36
1469044800,"-23,629","-42,202",2016,7,20,20,21,-9999,270,"10,3226889458",0,0,218,0,0,"12,8218662695",0,0,"21,3",0,0,"1019,3",0,0,"16,3",0,0,73,0,0,"69,28","23,28",0,0,192,0,0,30,0,0,260,0,0,25,0,0,241,0,0,28,0,0,"2,59",0,0,"4,1",0,0,"11,8",0,0,185,0,0,33
1469048400,"-23,629","-42,204",2016,7,20,21,21,"12,8",-9999,"8,3668110403",0,0,218,0,0,"9,9967092949",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1469052000,"-23,627","-42,2",2016,7,20,22,21,-9999,267,"8,3668110403",0,0,218,0,0,"9,9967092949",0,0,"21,1",0,0,"1020,2",0,0,"15,4",0,0,70,0,0,"33,03","23,39",0,0,216,0,0,8,0,0,272,0,0,12,0,0,264,0,0,4,0,0,"2,5",0,0,"3,53",0,0,"11,1",0,0,182,0,0,36
1469055600,"-23,628","-42,2",2016,7,20,23,21,-9999,270,"8,8014505748",0,0,221,0,0,"10,9746482476",0,0,"21,2",0,0,"1020,8",0,0,"15,5",0,0,70,0,0,"33,17","23,37",0,0,192,0,0,355,0,0,236,0,0,0,0,0,218,0,0,3,0,0,"2,38",0,0,"3,26",0,0,"11,8",0,0,188,0,0,39
1469059200,"-23,63","-42,207",2016,7,21,0,21,-9999,285,"6,7369127857",0,0,233,0,0,"9,344749993",0,0,"21,2",0,0,"1021,5",0,0,"14,6",0,0,66,0,0,"33,28","23,37",0,0,173,0,0,349,0,0,209,0,0,354,0,0,195,0,0,351,0,0,"2,25",0,0,"3,29",0,0,"11,8",0,0,179,0,0,39
1469062800,"-23,63","-42,211",2016,7,21,1,21,"12,7",-9999,"6,7369127857",0,0,233,0,0,"9,344749993",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1469073600,"-23,629","-42,203",2016,7,21,4,21,"12,7",-9999,"3,911755811",0,0,233,0,0,"5,432994182",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1469080800,"-23,628","-42,202",2016,7,21,6,21,"12,6",-9999,"4,6723749965",0,0,176,0,0,"6,3022732511",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1469084400,"-23,629","-42,201",2016,7,21,7,21,"12,6",-9999,"4,8896947638",0,0,179,0,0,"6,3022732511",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
