# Epoca,Lat,Lon,Year,Month,Day,Hour,Minute,Battery,bHead,Wspd,Wspdflag,Wspdflagid,Wdir,Wdirflag,Wdirflagid,Gust,Gustflag,Gustflagid,Atmp,Atmpflag,Atmpflagid,Pres,Presflag,Presflagid,Dewp,Dewpflag,Dewpflagid,Humi,Humiflag,Humiflagid,Arad,Wtmp,Wtmpflag,Wtmpflagid,Cvel1,Cvel1flag,Cvel1flagid,Cdir1,Cdir1flag,Cdir1flagid,Cvel2,Cvel2flag,Cvel2flagid,Cdir2,Cdir2flag,Cdir2flagid,Cvel3,Cvel3flag,Cvel3flagid,Cdir3,Cdir3flag,Cdir3flagid,Wvht,Wvhtflag,Wvhtflagid,Wmax,Wmaxflag,Wmaxflagid,Dpd,Dpdflag,Dpdflagid,Mwd,Mwdflag,Mwdflagid,Spred
1479495600,"-3,209","-38,431",2016,11,18,19,21,-9999,168,"6,7369127857",0,0,113,0,0,"7,7148517384",0,0,"27,7",0,0,"1006,2",0,0,"23,5",0,0,78,0,0,"214,66","40,955",4,2,4095,4,1,511,4,1,4095,4,1,511,4,1,4095,4,1,511,4,1,"1,55",0,0,"2,48",0,0,"7,1",0,0,89,0,0,-9999
1479499200,"-3,213","-38,433",2016,11,18,20,21,"12,8",159,"6,0849534838",0,0,92,0,0,"7,2802122039",0,0,"27,4",0,0,"1006,4",0,0,"23,4",0,0,79,0,0,"38,21","27,16",0,0,426,0,0,270,0,0,427,0,0,274,0,0,381,0,0,273,0,0,"1,6",0,0,"2,59",0,0,"7,1",0,0,89,0,0,-9999
1479502800,"-3,213","-38,429",2016,11,18,21,21,-9999,159,"6,3022732511",0,0,104,0,0,"7,3888720875",0,0,"27,4",0,0,"1006,4",0,0,"23,4",0,0,79,0,0,"38,21","27,16",0,0,426,0,0,270,0,0,427,0,0,274,0,0,381,0,0,273,0,0,"1,6",0,0,"2,59",0,0,"7,1",0,0,89,0,0,-9999
1479506400,"-3,213","-38,432",2016,11,18,22,21,"12,7",-9999,"6,7369127857",0,0,74,0,0,"8,3668110403",0,0,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999,4,1,-9999
1479513600,"-3,214","-38,431",2016,11,19,0,21,-9999,153,"8,149491273",0,0,86,0,0,"10,6486685967",0,0,"27,2",0,0,"1008,2",0,0,"23,7",0,0,81,0,0,"6,32","27,38",0,0,386,0,0,285,0,0,381,0,0,285,0,0,378,0,0,287,0,0,"1,27",0,0,"2,53",0,0,"7,1",0,0,83,0,0,-9999
1479517200,"-3,223","-38,432",2016,11,19,1,21,"12,5",153,"9,344749993",0,0,95,0,0,"11,6266075495",0,0,"27,1",0,0,"1007,6",0,0,"22,7",0,0,77,0,0,"5,32","27,33",0,0,285,0,0,279,0,0,293,0,0,279,0,0,269,0,0,277,0,0,"1,55",0,0,"2,43",0,0,"8,4",0,0,347,0,0,-9999
1479538800,"-3,216","-38,429",2016,11,19,7,21,"12,5",156,"8,9101104585",0,0,92,0,0,"10,9746482476",0,0,27,0,0,"1008,1",0,0,"22,8",0,0,77,0,0,"4,8","27,33",0,0,267,0,0,278,0,0,288,0,0,280,0,0,271,0,0,280,0,0,"1,55",0,0,"2,15",0,0,"6,5",0,0,86,0,0,-9999
1479542400,"-3,216","-38,431",2016,11,19,8,21,-9999,156,"8,0408313894",0,0,98,0,0,"9,5620697603",0,0,"27,1",0,0,"1009,2",0,0,"22,9",0,0,78,0,0,"121,72","27,34",0,0,296,0,0,258,0,0,297,0,0,262,0,0,295,0,0,260,0,0,"1,56",0,0,"2,36",0,0,"8,7",0,0,86,0,0,-9999
1479546000,"-3,213","-38,433",2016,11,19,9,21,"13,1",156,"8,0408313894",0,0,98,0,0,"9,5620697603",0,0,"27,1",0,0,"1009,2",0,0,"22,9",0,0,78,0,0,"121,72","27,34",0,0,296,0,0,258,0,0,297,0,0,262,0,0,295,0,0,260,0,0,"1,56",0,0,"2,36",0,0,"8,7",0,0,86,0,0,-9999
1479553200,"-3,213","-38,433",2016,11,19,11,21,-9999,156,"9,2360901094",0,0,95,0,0,"11,1919680149",0,0,"27,4",0,0,"1009,9",0,0,"22,7",0,0,75,0,0,"218,5","27,36",0,0,306,0,0,272,0,0,312,0,0,272,0,0,316,0,0,273,0,0,"1,6",0,0,"2,64",0,0,"8,7",0,0,86,0,0,-9999
