Month,Wspd,Wdir,Gust,Atmp,Pres,Dewp,Humi,Wtmp,Wvht,Dpd,Mwd
2,3.36845639284,219,4.23773546196,28.3,1013.0,22.1,69.0,28.56,0.83,4.2,54
2,2.82515697464,216,3.58577616012,28.4,1012.6,22.3,69.0,28.58,0.83,4.3,51
2,2.93381685828,222,3.69443604376,28.3,1011.9,22.3,70.0,28.75,0.8,6.9,51
2,3.2597965092,216,4.02041569468,28.3,1011.9,22.3,70.0,28.75,0.8,6.9,51
2,2.93381685828,225,3.58577616012,28.25,1012.65,22.45,71.0,28.66,0.81,7.0,51.0
2,4.3463953456,39,5.32433429836,28.2,1013.4,22.6,72.0,28.58,0.83,7.1,51
2,4.56371511288,246,5.75897383291,28.1,1013.2,22.3,71.0,28.56,0.85,7.1,57.0
2,3.2597965092,246,4.12907557832,28.0,1013.0,22.0,70.0,28.55,0.87,7.1,63
2,2.716497091,234,3.47711627648,27.95,1013.05,22.25,71.0,28.58,0.86,7.0,63.0
2,2.716497091,234,3.47711627648,27.9,1013.1,22.5,72.0,28.6,0.86,6.9,63
2,3.91175581104,219,4.67237499652,28.0,1013.1,22.1,70.0,28.58,0.83,6.9,63
2,3.91175581104,219,4.67237499652,27.5,1013.4,23.7,80.0,28.58,0.88,10.5,66
2,3.8030959274,207,4.45505522924,27.65,1013.5,23.8,79.5,28.58,0.89,8.4,69.0
2,3.8030959274,207,4.45505522924,27.8,1013.6,23.9,79.0,28.58,0.9,6.3,72
2,3.69443604376,204,4.45505522924,28.2,1014.4,23.5,76.0,28.63,0.96,5.0,69
2,4.3463953456,198,4.99835464744,28.4,1013.3,23.4,74.5,28.64,1.02,5.3,64.5
2,5.21567441472,210,6.08495348383,28.6,1012.2,23.3,73.0,28.66,1.09,5.6,60
2,4.3463953456,201,5.32433429836,28.55,1011.95,23.3,73.0,28.65,1.16,5.6,57.0
2,5.432994182,201,6.51959301839,28.52,1011.83,23.3,73.0,28.64,1.19,5.6,55.5
2,4.8896947638,198,5.86763371655,28.5,1011.7,23.3,73.0,28.64,1.22,5.6,54
2,4.78103488016,204,5.65031394927,28.5,1012.3,23.4,74.0,28.62,1.3,5.6,57
