Month,Wspd,Wdir,Atmp,Pres,Dewp,Humi,Wtmp,Wvht,Dpd,Mwd
2,3.36845639284,219,28.3,1013.0,22.1,69.0,28.56,0.83,4.2,54
2,2.82515697464,216,28.4,1012.6,22.3,69.0,28.58,0.83,4.3,51
2,2.93381685828,222,28.3,1011.9,22.3,70.0,28.75,0.8,6.9,51
2,3.2597965092,216,28.3,1011.9,22.3,70.0,28.75,0.8,6.9,51
2,2.93381685828,225,28.25,1012.65,22.45,71.0,28.66,0.81,7.0,51.0
2,4.3463953456,39,28.2,1013.4,22.6,72.0,28.58,0.83,7.1,51
2,4.56371511288,246,28.1,1013.2,22.3,71.0,28.56,0.85,7.1,57.0
2,3.2597965092,246,28.0,1013.0,22.0,70.0,28.55,0.87,7.1,63
2,2.716497091,234,27.95,1013.05,22.25,71.0,28.58,0.86,7.0,63.0
2,2.716497091,234,27.9,1013.1,22.5,72.0,28.6,0.86,6.9,63
2,3.91175581104,219,28.0,1013.1,22.1,70.0,28.58,0.83,6.9,63
2,3.91175581104,219,27.5,1013.4,23.7,80.0,28.58,0.88,10.5,66
2,3.8030959274,207,27.65,1013.5,23.8,79.5,28.58,0.89,8.4,69.0
2,3.8030959274,207,27.8,1013.6,23.9,79.0,28.58,0.9,6.3,72
2,3.69443604376,204,28.2,1014.4,23.5,76.0,28.63,0.96,5.0,69
2,4.3463953456,198,28.4,1013.3,23.4,74.5,28.64,1.02,5.3,64.5
2,5.21567441472,210,28.6,1012.2,23.3,73.0,28.66,1.09,5.6,60
2,4.3463953456,201,28.55,1011.95,23.3,73.0,28.65,1.16,5.6,57.0
2,5.432994182,201,28.52,1011.83,23.3,73.0,28.64,1.19,5.6,55.5
2,4.8896947638,198,28.5,1011.7,23.3,73.0,28.64,1.22,5.6,54
2,4.78103488016,204,28.5,1012.3,23.4,74.0,28.62,1.3,5.6,57
2,4.99835464744,324,28.5,1013.9,23.4,74.0,28.6,1.22,5.6,60
2,4.78103488016,213,28.3,1013.45,23.4,75.0,28.59,1.27,5.95,61.5
2,5.32433429836,210,28.1,1013.0,23.4,76.0,28.57,1.32,6.3,63
2,4.8896947638,210,28.0,1013.4,23.4,76.0,28.56,1.44,5.9,66
2,5.10701453108,219,28.0,1013.6,23.4,76.0,28.55,1.43,6.1,66
2,5.21567441472,207,28.2,1013.85,23.55,76.0,28.55,1.5,6.1,66.0
2,5.32433429836,201,28.4,1014.1,23.7,76.0,28.55,1.58,6.1,66
2,4.56371511288,201,28.5,1014.45,23.5,74.5,28.68,1.46,6.1,63.0
2,4.3463953456,162,28.6,1014.8,23.3,73.0,28.81,1.33,6.1,60
2,4.12907557832,216,28.6,1014.0,23.55,74.0,28.84,1.31,6.0,60.0
2,4.23773546196,207,28.6,1013.2,23.8,75.0,28.86,1.28,5.9,60
