Month,Wspd,Wdir,Gust,Atmp,Pres,Dewp,Humi,Wtmp,Wvht,Dpd,Mwd
1,4.99835464744,107,6.30227325111,26.8,1011.4,22.1,75.0,27.68,1.43,11.5,104
1,6.41093313475,104,8.04083138935,26.8,1011.7,21.7,74.0,27.71,18.76,18.8,84.0
1,4.99835464744,107,6.30227325111,26.8,1011.4,22.1,75.0,27.68,1.43,8.7,104
1,5.75897383291,104,6.73691278567,26.8,1011.3,22.0,75.0,27.63,1.38,8.3,98
1,5.75897383291,104,6.73691278567,26.8,1011.8,22.1,75.0,27.6,1.45,8.3,95
1,5.10701453108,107,6.41093313475,27.0,1012.6,22.4,75.0,27.59,1.36,9.5,92
1,5.65031394927,116,6.62825290203,27.4,1013.4,22.5,75.0,27.66,1.28,8.3,89
1,5.65031394927,116,6.62825290203,27.4,1013.4,22.5,75.0,27.66,1.28,8.3,89
1,5.21567441472,119,6.19361336747,27.5,1012.7,22.1,72.0,27.9,1.41,8.7,89
1,5.21567441472,116,6.51959301839,27.5,1011.85,22.1,72.0,27.91,1.34,8.2,87.5
1,4.67237499652,134,5.75897383291,27.5,1011.42,22.1,72.0,27.91,1.31,7.95,86.75
1,5.10701453108,128,6.95423255295,27.5,1011.21,22.1,72.0,27.91,1.29,7.83,86.38
1,6.51959301839,128,7.82351162207,27.5,1011.0,22.1,72.0,27.91,1.28,7.7,86
1,6.51959301839,128,7.82351162207,27.25,1012.05,22.25,74.0,27.87,1.31,8.85,84.5
1,6.51959301839,113,7.82351162207,27.12,1012.58,22.32,75.0,27.84,1.33,9.43,83.75
1,6.73691278567,92,8.36681104027,27.0,1013.1,22.4,76.0,27.82,1.34,10.0,83
1,5.86763371655,86,6.95423255295,26.8,1011.9,22.5,77.0,27.74,1.31,8.0,86
1,5.86763371655,92,6.84557266931,26.8,1010.8,23.0,80.0,27.64,1.21,10.0,77
1,5.97629360019,83,6.95423255295,26.8,1011.2,22.5,77.0,27.66,1.26,8.0,86
1,4.67237499652,92,6.19361336747,26.9,1012.05,22.8,78.0,27.65,1.23,8.55,84.5
1,4.67237499652,110,5.21567441472,27.0,1012.9,23.1,79.0,27.64,1.19,9.1,83
